schedtime,carrier,deptime,destination,distance,flightnumber,origin,weather,dayweek,daymonth,delay
830,DL,828,LGA,214,1744,DCA,0,6,17,ontime
1230,DL,1231,LGA,214,1752,DCA,0,1,19,ontime
900,MQ,858,LGA,214,4956,DCA,0,1,19,ontime
1245,DH,1324,LGA,229,7208,IAD,0,4,22,delayed
900,MQ,857,LGA,214,4956,DCA,0,3,21,ontime
1800,US,1756,LGA,214,2182,DCA,0,1,26,ontime
630,US,625,LGA,214,1479,DCA,0,4,22,ontime
1030,RU,1235,EWR,169,2303,BWI,0,7,4,delayed
2120,DH,2120,EWR,213,7304,IAD,0,5,16,ontime
850,UA,848,LGA,229,846,IAD,0,4,8,ontime
840,DH,848,EWR,213,7299,IAD,0,3,14,ontime
2100,RU,2052,EWR,199,2879,DCA,0,2,20,ontime
1830,MQ,1843,JFK,213,4784,DCA,0,2,6,ontime
1630,RU,1624,EWR,199,2181,DCA,0,2,20,ontime
1300,RU,1253,EWR,213,2692,IAD,0,1,12,ontime
1500,US,1458,LGA,214,2176,DCA,0,6,10,ontime
1900,MQ,2004,LGA,214,4976,DCA,0,7,18,delayed
1730,CO,1846,EWR,199,814,DCA,0,1,5,delayed
2030,DL,2031,LGA,214,1768,DCA,0,4,29,ontime
1900,CO,1856,EWR,199,816,DCA,0,2,20,ontime
1359,RU,1355,EWR,199,2216,DCA,0,3,14,ontime
1710,DH,1917,EWR,213,7302,IAD,0,7,4,delayed
1030,RU,1044,EWR,169,2303,BWI,0,3,7,delayed
1530,DL,1531,LGA,214,1758,DCA,0,4,29,ontime
1715,DH,1712,LGA,229,7215,IAD,0,7,11,ontime
1030,DL,1032,LGA,214,1748,DCA,0,5,9,ontime
850,UA,847,LGA,229,846,IAD,0,4,22,ontime
840,DH,831,EWR,213,7299,IAD,0,1,12,ontime
930,DL,930,LGA,214,1746,DCA,0,5,2,ontime
1600,US,1558,LGA,214,2178,DCA,0,5,16,ontime
1455,DL,1506,JFK,213,746,DCA,0,5,9,ontime
1800,US,1758,LGA,214,2182,DCA,0,2,6,ontime
1900,MQ,2012,LGA,214,4976,DCA,0,4,15,delayed
1030,DL,1028,LGA,214,1748,DCA,0,7,11,ontime
1230,DL,1230,LGA,214,1752,DCA,0,4,29,ontime
1715,DH,1802,LGA,229,7215,IAD,0,7,18,delayed
1700,RU,1656,EWR,213,2497,IAD,0,2,6,ontime
1300,MQ,1251,LGA,214,4964,DCA,0,5,30,ontime
1245,DH,1237,EWR,213,7303,IAD,0,4,15,ontime
800,US,815,LGA,214,2162,DCA,0,4,15,ontime
1455,DH,1445,LGA,229,7211,IAD,0,1,19,ontime
1500,MQ,1459,LGA,214,4968,DCA,0,4,22,ontime
1720,RU,1726,EWR,169,3372,BWI,0,3,21,delayed
1900,RU,1901,EWR,213,2385,IAD,0,2,6,delayed
630,DH,627,EWR,213,7305,IAD,0,4,29,ontime
1600,US,1558,LGA,214,2178,DCA,0,3,21,ontime
1100,MQ,1100,LGA,214,4960,DCA,0,2,6,ontime
1000,US,954,LGA,214,2166,DCA,0,7,18,ontime
1455,RU,1453,EWR,169,2403,BWI,0,2,20,ontime
2130,RU,2244,EWR,199,2879,DCA,0,7,25,delayed
1900,US,1857,LGA,214,2184,DCA,0,6,3,ontime
1530,MQ,1538,JFK,213,4752,DCA,0,1,5,ontime
1455,OH,1500,JFK,184,5935,BWI,0,3,28,ontime
840,DH,835,EWR,213,7299,IAD,0,6,17,ontime
1630,DL,1630,LGA,214,1760,DCA,0,5,16,ontime
1900,US,1856,LGA,214,2184,DCA,0,6,31,ontime
730,DL,728,LGA,214,1742,DCA,0,2,6,ontime
1700,MQ,1654,LGA,214,4972,DCA,0,2,6,ontime
700,RU,658,EWR,213,2855,IAD,0,6,17,ontime
840,DH,836,JFK,228,7800,IAD,0,3,21,ontime
2120,DH,2153,JFK,228,7814,IAD,0,2,6,delayed
2120,DH,2111,JFK,228,7814,IAD,0,7,18,ontime
1030,DL,1029,LGA,214,1748,DCA,0,5,23,ontime
645,RU,641,EWR,199,2761,DCA,0,6,17,ontime
2100,US,2055,LGA,214,2188,DCA,0,5,23,ontime
630,DL,630,LGA,214,1740,DCA,0,3,21,ontime
1300,RU,1254,EWR,213,2367,IAD,0,3,7,ontime
850,UA,904,LGA,229,846,IAD,0,5,9,delayed
1500,US,1456,LGA,214,2176,DCA,0,7,4,ontime
930,RU,925,EWR,199,2582,DCA,0,7,18,ontime
930,RU,926,EWR,199,2582,DCA,0,7,11,ontime
1330,DL,1327,LGA,214,1754,DCA,0,2,6,ontime
1900,CO,1915,EWR,199,816,DCA,0,3,14,ontime
1830,DL,1829,LGA,214,1764,DCA,0,5,9,ontime
1715,DH,1922,LGA,229,7215,IAD,0,2,13,delayed
600,MQ,557,JFK,213,4760,DCA,0,6,10,delayed
1400,US,1356,LGA,214,2174,DCA,0,7,18,ontime
645,RU,643,EWR,199,2761,DCA,0,5,30,ontime
1130,DL,1129,LGA,214,1750,DCA,0,2,20,ontime
1230,DL,1228,LGA,214,1752,DCA,0,4,1,ontime
1730,RU,1728,EWR,199,2097,DCA,0,6,24,ontime
1800,US,1759,LGA,214,2182,DCA,0,4,22,ontime
1500,MQ,1458,LGA,214,4968,DCA,0,2,20,ontime
640,DH,640,LGA,229,7790,IAD,0,3,14,ontime
1240,DH,1243,JFK,228,7806,IAD,0,3,14,ontime
735,CO,728,EWR,199,806,DCA,0,5,23,ontime
630,US,627,LGA,214,1479,DCA,0,3,14,ontime
2120,DH,2214,JFK,228,7814,IAD,0,5,30,delayed
1630,DL,1630,LGA,214,1760,DCA,0,1,12,ontime
1600,MQ,1703,LGA,214,4970,DCA,0,5,30,delayed
700,RU,656,EWR,213,2855,IAD,0,3,14,ontime
900,RU,856,EWR,199,2582,DCA,0,3,7,ontime
1455,DL,1458,JFK,213,746,DCA,0,5,2,ontime
1645,DH,1639,JFK,228,7810,IAD,0,4,8,ontime
1030,DL,1029,LGA,214,1748,DCA,0,1,19,ontime
1230,DL,1230,LGA,214,1752,DCA,0,1,12,ontime
840,DH,918,JFK,228,7800,IAD,0,6,10,delayed
1830,DL,1830,LGA,214,1764,DCA,0,2,6,ontime
1455,DL,1454,JFK,213,746,DCA,0,3,14,ontime
2120,DH,2220,LGA,229,7684,IAD,0,3,21,delayed
1715,DH,1710,JFK,228,7812,IAD,0,3,21,ontime
1455,DL,1535,JFK,213,746,DCA,0,7,25,delayed
2120,DH,2200,JFK,228,7814,IAD,0,1,5,delayed
1240,DH,1236,JFK,228,7806,IAD,0,6,17,ontime
1610,DH,1606,JFK,228,7816,IAD,0,3,7,ontime
900,RU,858,EWR,199,2582,DCA,0,5,2,ontime
630,DH,627,EWR,213,7305,IAD,0,1,19,ontime
840,DH,839,JFK,228,7800,IAD,0,4,1,ontime
1800,DH,1750,JFK,228,7818,IAD,0,6,31,ontime
900,RU,856,EWR,199,2582,DCA,0,3,14,ontime
1500,MQ,1459,LGA,214,4968,DCA,0,2,27,ontime
1730,RU,1738,EWR,199,2097,DCA,0,6,3,ontime
1600,US,1557,LGA,214,2178,DCA,0,2,6,ontime
2000,US,1957,LGA,214,2186,DCA,0,7,18,ontime
1630,DL,1630,LGA,214,1760,DCA,0,4,15,ontime
1900,US,1854,LGA,214,2184,DCA,0,6,24,ontime
1900,US,1900,LGA,214,2184,DCA,0,1,26,ontime
1030,DL,1030,LGA,214,1748,DCA,0,3,7,ontime
1100,MQ,1111,LGA,214,4960,DCA,0,3,14,delayed
2030,DL,2029,LGA,214,1768,DCA,0,4,1,ontime
1600,RU,1558,EWR,199,2361,DCA,0,6,31,ontime
1700,US,1656,LGA,214,2180,DCA,0,1,19,ontime
1800,DH,1800,JFK,228,7818,IAD,0,6,10,ontime
1455,DH,1458,JFK,228,7808,IAD,0,5,23,ontime
1040,DH,1030,LGA,229,7792,IAD,0,5,30,ontime
900,MQ,904,LGA,214,4956,DCA,0,6,31,ontime
735,CO,815,EWR,199,806,DCA,0,4,15,delayed
925,MQ,919,JFK,213,4771,DCA,0,7,18,ontime
1900,RU,2120,EWR,199,2336,DCA,0,7,4,delayed
1600,US,1600,LGA,214,2178,DCA,0,3,7,delayed
1900,US,1858,LGA,214,2184,DCA,0,4,15,delayed
2120,DH,2143,LGA,229,7684,IAD,0,2,20,ontime
1030,RU,1027,EWR,169,2303,BWI,0,2,20,ontime
1830,DL,1843,LGA,214,1764,DCA,0,7,18,delayed
2120,DH,2136,JFK,228,7814,IAD,0,6,17,delayed
800,US,756,LGA,214,2162,DCA,0,5,9,ontime
1500,MQ,1458,LGA,214,4968,DCA,0,5,30,ontime
1300,RU,1251,EWR,213,2367,IAD,0,3,21,ontime
630,US,627,LGA,214,1479,DCA,0,4,8,ontime
1730,CO,1727,EWR,199,814,DCA,0,3,21,delayed
1455,DL,1500,JFK,213,746,DCA,0,6,31,ontime
1100,US,1057,LGA,214,2168,DCA,0,7,11,ontime
1525,RU,1601,EWR,199,2261,DCA,0,5,30,delayed
1530,MQ,1525,JFK,213,4752,DCA,0,6,24,ontime
630,US,626,LGA,214,1479,DCA,0,5,23,ontime
1430,DL,1427,LGA,214,1756,DCA,0,1,5,ontime
1500,RU,1453,EWR,213,2156,IAD,0,3,28,ontime
2100,RU,2052,EWR,199,2879,DCA,0,1,19,ontime
1630,RU,1646,EWR,199,2181,DCA,0,4,15,ontime
900,RU,858,EWR,199,2582,DCA,0,1,12,ontime
1300,CO,1254,EWR,199,808,DCA,0,5,23,ontime
2120,DH,2120,JFK,228,7814,IAD,0,3,7,ontime
1720,RU,1737,EWR,169,3372,BWI,0,1,26,delayed
630,DL,629,LGA,214,1740,DCA,0,2,13,ontime
1130,DL,1130,LGA,214,1750,DCA,0,4,15,ontime
1830,DL,1831,LGA,214,1764,DCA,0,4,15,ontime
1715,DH,1735,LGA,229,7215,IAD,1,2,27,delayed
1525,RU,1617,EWR,199,2261,DCA,0,1,5,delayed
1500,RU,1456,EWR,213,2156,IAD,0,2,27,delayed
640,DH,721,LGA,229,7790,IAD,0,4,29,delayed
1430,DL,1429,LGA,214,1756,DCA,0,2,13,ontime
1245,DH,1242,EWR,213,7303,IAD,0,5,30,delayed
1645,DH,1645,JFK,228,7810,IAD,0,5,2,ontime
640,DH,845,LGA,229,7790,IAD,1,2,27,delayed
1100,US,1058,LGA,214,2168,DCA,0,3,7,ontime
1100,US,1059,LGA,214,2168,DCA,0,5,16,ontime
2120,DH,2116,LGA,229,7924,IAD,0,7,4,ontime
1300,RU,1253,EWR,213,2692,IAD,0,5,2,ontime
1455,DH,1453,JFK,228,7808,IAD,0,2,6,ontime
1500,US,1456,LGA,214,2176,DCA,0,6,17,ontime
900,RU,856,EWR,199,2582,DCA,0,1,26,ontime
1900,RU,1850,EWR,213,2385,IAD,0,4,1,ontime
1400,US,1357,LGA,214,2174,DCA,0,2,6,ontime
640,DH,640,LGA,229,7790,IAD,0,7,4,ontime
1245,DH,1245,EWR,213,7303,IAD,0,3,14,ontime
1455,DH,1455,LGA,229,7211,IAD,0,2,20,ontime
840,DH,859,JFK,228,7800,IAD,0,5,2,ontime
1455,RU,1456,EWR,169,2403,BWI,0,7,25,ontime
840,DH,832,JFK,228,7800,IAD,0,5,23,ontime
900,MQ,855,LGA,214,4956,DCA,0,6,3,ontime
840,DH,835,EWR,213,7299,IAD,0,7,11,ontime
2120,DH,2127,LGA,229,7684,IAD,0,5,30,ontime
1710,DH,1820,EWR,213,7302,IAD,0,5,23,delayed
1500,MQ,1540,LGA,214,4968,DCA,0,7,18,delayed
1530,DL,1530,LGA,214,1758,DCA,0,1,19,ontime
1730,DL,1730,LGA,214,1762,DCA,0,3,21,ontime
1400,US,1356,LGA,214,2174,DCA,0,4,29,ontime
1830,DL,1828,LGA,214,1764,DCA,0,3,7,ontime
1900,RU,1857,EWR,213,2385,IAD,0,4,8,ontime
1630,DL,1629,LGA,214,1760,DCA,0,6,31,ontime
700,US,654,LGA,214,2160,DCA,0,4,22,ontime
1430,DL,1432,LGA,214,1756,DCA,0,5,9,ontime
1245,DH,1321,LGA,229,7208,IAD,0,4,29,delayed
840,DH,840,EWR,213,7299,IAD,0,5,9,ontime
2030,DL,2031,LGA,214,1768,DCA,0,5,30,ontime
1640,DH,1633,JFK,213,6155,DCA,0,6,31,ontime
1455,OH,1455,JFK,184,5935,BWI,0,5,16,ontime
1400,MQ,1356,LGA,214,4966,DCA,0,4,1,ontime
2120,DH,2116,EWR,213,7304,IAD,0,5,30,ontime
1455,DL,1500,JFK,213,746,DCA,0,7,4,ontime
900,US,858,LGA,214,2164,DCA,0,5,30,ontime
700,MQ,650,LGA,214,4952,DCA,0,2,13,ontime
1030,DL,1028,LGA,214,1748,DCA,0,6,17,ontime
1300,CO,1255,EWR,199,808,DCA,0,3,7,ontime
800,MQ,755,LGA,214,4954,DCA,0,5,23,ontime
1715,DH,1710,JFK,228,7812,IAD,0,1,12,ontime
640,DH,633,LGA,229,7790,IAD,0,1,5,delayed
1640,DH,1633,JFK,213,6155,DCA,0,6,24,ontime
1930,DL,1928,LGA,214,1766,DCA,0,4,8,ontime
830,DL,831,LGA,214,1744,DCA,0,2,13,ontime
1530,MQ,1523,JFK,213,4752,DCA,0,5,30,ontime
1900,MQ,1936,LGA,214,4976,DCA,0,7,4,delayed
850,UA,841,LGA,229,846,IAD,0,4,1,ontime
735,CO,727,EWR,199,806,DCA,0,2,6,ontime
630,DH,626,EWR,213,7305,IAD,0,2,13,ontime
2100,RU,2056,EWR,199,2879,DCA,0,1,12,ontime
700,MQ,730,LGA,214,4952,DCA,0,4,22,ontime
840,DH,831,JFK,228,7800,IAD,0,3,7,ontime
2100,RU,2055,EWR,199,2879,DCA,0,2,13,ontime
1600,US,1559,LGA,214,2178,DCA,0,4,22,ontime
700,US,655,LGA,214,2160,DCA,0,6,3,ontime
2120,DH,2117,EWR,213,7304,IAD,0,3,7,ontime
730,DL,731,LGA,214,1742,DCA,0,1,19,ontime
1300,CO,1258,EWR,199,1767,DCA,0,7,18,ontime
1900,RU,1858,EWR,199,2336,DCA,0,5,2,ontime
2120,DH,2125,JFK,228,7814,IAD,0,6,24,ontime
1530,DL,1530,LGA,214,1758,DCA,0,5,9,ontime
1455,OH,1455,JFK,184,5935,BWI,0,4,1,ontime
1300,CO,1255,EWR,199,808,DCA,0,4,8,ontime
840,DH,840,JFK,228,7800,IAD,0,7,11,ontime
1710,DH,1703,EWR,213,7302,IAD,0,3,14,ontime
1830,MQ,1851,JFK,213,4784,DCA,0,5,9,delayed
630,US,638,LGA,214,1479,DCA,0,5,30,ontime
1230,DL,1229,LGA,214,1752,DCA,0,1,26,ontime
1700,RU,1654,EWR,213,2497,IAD,0,3,7,ontime
645,RU,651,EWR,199,2761,DCA,0,1,12,ontime
2120,DH,2125,JFK,228,7814,IAD,0,2,13,ontime
1030,DL,1031,LGA,214,1748,DCA,0,5,30,ontime
700,RU,657,EWR,169,2703,BWI,0,6,10,ontime
1300,RU,1252,EWR,213,2692,IAD,0,5,23,ontime
1630,RU,1625,EWR,199,2181,DCA,0,4,8,ontime
1720,RU,1729,EWR,169,3372,BWI,0,7,25,ontime
1455,OH,1455,JFK,184,5935,BWI,0,6,17,ontime
1400,US,1357,LGA,214,2174,DCA,0,2,20,ontime
1730,CO,1731,EWR,199,814,DCA,0,5,23,ontime
1830,MQ,1830,JFK,213,4784,DCA,0,3,21,ontime
900,US,858,LGA,214,2164,DCA,0,1,19,ontime
1100,MQ,1047,LGA,214,4960,DCA,0,5,23,ontime
930,RU,926,EWR,199,2582,DCA,0,7,25,ontime
1700,US,1656,LGA,214,2180,DCA,0,3,7,ontime
1455,RU,1451,EWR,169,2403,BWI,0,2,6,ontime
1000,US,957,LGA,214,2166,DCA,0,5,30,ontime
1430,DH,1521,EWR,213,7307,IAD,0,7,25,delayed
1300,RU,1258,EWR,213,2692,IAD,0,1,26,ontime
730,DL,727,LGA,214,1742,DCA,0,6,17,ontime
1730,CO,1723,EWR,199,814,DCA,0,2,20,ontime
1630,DL,1629,LGA,214,1760,DCA,0,2,6,ontime
1500,MQ,1457,LGA,214,4968,DCA,0,3,7,delayed
1455,OH,1540,JFK,184,5935,BWI,0,4,22,delayed
1610,DH,1607,JFK,228,7816,IAD,0,5,16,ontime
1700,US,1656,LGA,214,2180,DCA,0,3,28,ontime
1500,RU,1456,EWR,213,2156,IAD,0,6,24,ontime
1100,US,1058,LGA,214,2168,DCA,0,1,12,delayed
1645,DH,1643,JFK,228,7810,IAD,0,5,9,ontime
730,DL,730,LGA,214,1742,DCA,0,5,9,delayed
1730,CO,1728,EWR,199,814,DCA,0,4,8,ontime
1040,DH,1032,LGA,229,7792,IAD,0,3,21,ontime
1230,DL,1231,LGA,214,1752,DCA,0,4,8,ontime
1000,US,1005,LGA,214,2166,DCA,0,3,28,ontime
1645,DH,1641,JFK,228,7810,IAD,0,6,17,ontime
1645,DH,1641,JFK,228,7810,IAD,0,7,25,ontime
1300,MQ,1341,LGA,214,4964,DCA,0,4,15,delayed
800,MQ,746,LGA,214,4954,DCA,0,3,7,ontime
1900,MQ,2006,LGA,214,4976,DCA,0,5,16,delayed
1430,DH,1512,EWR,213,7307,IAD,0,5,2,delayed
700,US,657,LGA,214,2160,DCA,0,6,24,ontime
840,DH,833,JFK,228,7800,IAD,0,1,19,ontime
1400,RU,1357,EWR,199,2216,DCA,0,4,1,ontime
1530,MQ,1523,JFK,213,4752,DCA,0,4,15,ontime
1300,CO,1258,EWR,199,808,DCA,0,5,9,ontime
1700,MQ,1655,LGA,214,4972,DCA,0,5,23,ontime
1245,DH,1320,EWR,213,7303,IAD,0,3,7,delayed
1030,RU,1053,EWR,169,2303,BWI,0,5,16,delayed
1300,US,1257,LGA,214,2172,DCA,0,3,28,ontime
1455,OH,1455,JFK,184,5935,BWI,0,4,8,ontime
1500,MQ,1528,LGA,214,4968,DCA,0,7,25,delayed
900,US,857,LGA,214,2164,DCA,0,3,7,ontime
1500,US,1457,LGA,214,2176,DCA,0,6,31,ontime
1245,DH,1357,EWR,213,7303,IAD,0,1,5,delayed
1900,US,1855,LGA,214,2184,DCA,0,7,18,ontime
2120,DH,2111,EWR,213,7304,IAD,0,6,31,ontime
2100,US,2055,LGA,214,2188,DCA,0,7,18,ontime
2120,DH,2230,LGA,229,7684,IAD,0,6,17,delayed
1300,RU,1421,EWR,213,2692,IAD,0,5,16,delayed
840,DH,901,JFK,228,7800,IAD,0,7,25,ontime
700,RU,659,EWR,213,2855,IAD,0,5,30,delayed
1830,MQ,2023,JFK,213,4784,DCA,0,7,18,delayed
2000,US,2002,LGA,214,2186,DCA,0,7,11,ontime
800,US,757,LGA,214,2162,DCA,0,5,23,ontime
1040,DH,1031,LGA,229,7792,IAD,0,2,27,ontime
630,DH,700,EWR,213,7305,IAD,0,5,16,delayed
1640,DH,1634,JFK,213,6155,DCA,0,5,9,ontime
700,US,656,LGA,214,2160,DCA,0,5,30,ontime
1630,DL,1633,LGA,214,1760,DCA,0,4,22,delayed
1715,DH,1708,JFK,228,7812,IAD,0,6,10,ontime
1530,MQ,1619,JFK,213,4752,DCA,1,1,26,delayed
840,DH,836,EWR,213,7299,IAD,0,2,13,ontime
1500,US,1455,LGA,214,2176,DCA,0,7,25,ontime
1400,US,1356,LGA,214,2174,DCA,0,5,30,ontime
630,DL,629,LGA,214,1740,DCA,0,4,22,ontime
1300,MQ,1252,LGA,214,4964,DCA,0,3,21,ontime
1700,US,1657,LGA,214,2180,DCA,0,7,11,ontime
1700,RU,1650,EWR,213,2497,IAD,0,3,28,ontime
900,RU,858,EWR,199,2582,DCA,0,5,30,ontime
1730,CO,1745,EWR,199,814,DCA,0,3,14,delayed
1640,DH,1644,JFK,213,6155,DCA,0,7,4,ontime
830,DL,840,LGA,214,1744,DCA,0,6,31,delayed
1800,US,1757,LGA,214,2182,DCA,0,1,5,ontime
1300,MQ,1248,LGA,214,4964,DCA,0,2,13,ontime
800,US,801,LGA,214,2162,DCA,0,1,26,ontime
735,CO,728,EWR,199,806,DCA,0,3,21,ontime
1640,DH,1631,JFK,213,6155,DCA,0,3,28,ontime
1240,DH,1249,JFK,228,7806,IAD,0,7,18,ontime
2100,US,2059,LGA,214,2188,DCA,0,7,4,ontime
1610,DH,1609,JFK,228,7816,IAD,0,5,23,ontime
2120,DH,2115,LGA,229,7684,IAD,0,7,11,ontime
1430,DH,1421,EWR,213,7307,IAD,0,1,12,ontime
1525,RU,1622,EWR,199,2261,DCA,0,5,16,delayed
1700,US,1655,LGA,214,2180,DCA,0,5,2,ontime
1455,RU,1600,EWR,169,2403,BWI,0,5,16,delayed
1230,DL,1229,LGA,214,1752,DCA,0,5,23,ontime
1240,DH,1237,JFK,228,7806,IAD,0,6,3,ontime
1900,US,1857,LGA,214,2184,DCA,0,2,13,ontime
1900,US,1855,LGA,214,2184,DCA,0,7,25,ontime
2100,RU,2056,EWR,199,2879,DCA,0,5,30,ontime
1730,CO,1728,EWR,199,814,DCA,0,4,29,ontime
1630,RU,1629,EWR,199,2181,DCA,0,5,23,ontime
1715,DH,1714,JFK,228,7812,IAD,0,5,30,ontime
1455,DL,1501,JFK,213,746,DCA,0,3,7,ontime
1700,MQ,1658,LGA,214,4972,DCA,0,5,9,ontime
1000,US,1000,LGA,214,2166,DCA,0,2,6,ontime
930,RU,927,EWR,199,2582,DCA,0,7,4,ontime
2120,DH,2119,JFK,228,7814,IAD,0,3,14,ontime
1605,RU,2030,EWR,169,2603,BWI,0,7,4,delayed
1630,DL,1629,LGA,214,1760,DCA,0,3,7,ontime
1430,DL,1431,LGA,214,1756,DCA,0,3,14,ontime
1800,US,1758,LGA,214,2182,DCA,0,3,28,ontime
1455,DL,1511,JFK,213,746,DCA,0,6,24,delayed
1300,US,1256,LGA,214,2172,DCA,0,6,10,ontime
830,DL,829,LGA,214,1744,DCA,0,2,6,ontime
900,MQ,851,LGA,214,4956,DCA,0,2,13,ontime
630,US,629,LGA,214,1479,DCA,0,2,6,ontime
1300,CO,1250,EWR,199,808,DCA,0,2,20,ontime
1900,US,1855,LGA,214,2184,DCA,0,1,19,ontime
1430,DH,1536,EWR,213,7307,IAD,0,1,5,delayed
1530,MQ,1529,JFK,213,4752,DCA,0,3,28,ontime
1100,MQ,1141,LGA,214,4960,DCA,0,5,9,delayed
1330,DL,1330,LGA,214,1754,DCA,0,4,15,ontime
1030,RU,1028,EWR,169,2303,BWI,0,1,19,ontime
1830,DL,1830,LGA,214,1764,DCA,0,2,13,ontime
1600,US,1555,LGA,214,2178,DCA,0,3,28,delayed
1730,RU,1727,EWR,199,2097,DCA,0,6,17,ontime
850,UA,848,LGA,229,846,IAD,0,4,29,ontime
600,MQ,552,JFK,213,4760,DCA,0,7,18,delayed
2120,DH,2126,JFK,228,7814,IAD,0,6,10,ontime
1710,DH,1715,EWR,213,7302,IAD,0,3,28,delayed
900,US,857,LGA,214,2164,DCA,0,5,2,ontime
2100,US,2059,LGA,214,2188,DCA,0,3,14,ontime
1000,US,957,LGA,214,2166,DCA,0,2,20,ontime
1640,DH,1637,JFK,213,6155,DCA,0,6,17,ontime
2030,DL,2026,LGA,214,1768,DCA,0,6,17,ontime
1700,US,1656,LGA,214,2180,DCA,0,6,10,ontime
900,RU,855,EWR,199,2582,DCA,0,2,13,ontime
1030,RU,1037,EWR,169,2303,BWI,0,5,30,ontime
1400,US,1359,LGA,214,2174,DCA,0,2,13,ontime
1000,US,958,LGA,214,2166,DCA,0,5,16,ontime
1730,RU,1719,EWR,199,2097,DCA,0,6,10,ontime
1900,RU,2051,EWR,213,2385,IAD,0,1,19,delayed
2030,DL,2027,LGA,214,1768,DCA,0,4,8,ontime
800,MQ,756,LGA,214,4954,DCA,0,1,12,ontime
1500,US,1457,LGA,214,2176,DCA,0,4,8,ontime
2120,DH,2118,LGA,229,7684,IAD,0,3,14,ontime
1430,DH,1426,EWR,213,7307,IAD,0,2,20,ontime
1830,MQ,1915,JFK,213,4784,DCA,1,2,27,delayed
900,US,858,LGA,214,2164,DCA,0,7,4,ontime
845,RU,844,EWR,213,2254,IAD,0,7,11,ontime
2100,US,2057,LGA,214,2188,DCA,0,5,30,ontime
1530,MQ,1549,JFK,213,4752,DCA,0,7,18,delayed
1030,RU,1040,EWR,169,2303,BWI,0,1,12,ontime
1715,DH,1710,JFK,228,7812,IAD,0,5,9,ontime
1455,DH,1452,JFK,228,7808,IAD,0,7,25,ontime
1240,DH,1237,JFK,228,7806,IAD,0,4,22,ontime
1400,MQ,1352,LGA,214,4966,DCA,0,3,7,ontime
2100,US,2055,LGA,214,2188,DCA,0,4,29,ontime
1530,MQ,1522,JFK,213,4752,DCA,0,5,2,ontime
1040,DH,1035,LGA,229,7792,IAD,0,1,19,ontime
759,CO,757,EWR,199,806,DCA,0,1,5,ontime
1600,US,1556,LGA,214,2178,DCA,0,5,30,ontime
700,RU,659,EWR,213,2855,IAD,0,6,24,delayed
1640,DH,1648,JFK,213,6155,DCA,0,5,16,ontime
1330,DL,1331,LGA,214,1754,DCA,0,5,30,ontime
1455,OH,1455,JFK,184,5935,BWI,0,7,18,ontime
1900,US,1856,LGA,214,2184,DCA,0,7,11,ontime
1455,DH,1455,JFK,228,7808,IAD,0,5,2,ontime
1830,DL,1829,LGA,214,1764,DCA,0,1,19,ontime
1700,RU,1827,EWR,213,2497,IAD,0,5,16,delayed
600,MQ,548,JFK,213,4760,DCA,0,2,20,ontime
1500,US,1500,LGA,214,2176,DCA,0,1,5,ontime
1400,MQ,1353,LGA,214,4966,DCA,0,4,8,ontime
1500,US,1458,LGA,214,2176,DCA,0,3,28,delayed
640,DH,640,LGA,229,7790,IAD,0,3,7,ontime
645,RU,643,EWR,199,2761,DCA,0,4,15,ontime
1455,DH,1454,JFK,228,7808,IAD,0,5,16,ontime
730,DL,729,LGA,214,1742,DCA,0,6,10,ontime
1720,RU,1720,EWR,169,3372,BWI,0,5,9,ontime
1130,DL,1128,LGA,214,1750,DCA,0,7,25,ontime
2120,DH,2116,EWR,213,7304,IAD,0,4,22,ontime
1030,RU,1030,EWR,169,2303,BWI,0,6,10,ontime
600,MQ,556,JFK,213,4760,DCA,0,4,1,ontime
840,DH,837,EWR,213,7299,IAD,0,5,2,ontime
1200,US,1156,LGA,214,2170,DCA,0,2,20,ontime
1830,MQ,1956,JFK,213,4784,DCA,1,1,26,delayed
2100,RU,2140,EWR,199,2879,DCA,0,4,15,delayed
1030,RU,1030,EWR,169,2303,BWI,0,4,22,ontime
1315,RU,1313,EWR,169,2703,BWI,0,7,25,ontime
700,RU,656,EWR,169,2703,BWI,0,5,2,ontime
800,US,758,LGA,214,2162,DCA,0,1,19,ontime
1500,MQ,1534,LGA,214,4968,DCA,0,1,19,delayed
900,RU,854,EWR,199,2582,DCA,0,4,22,ontime
1700,MQ,1653,LGA,214,4972,DCA,0,3,21,ontime
1430,DH,1427,EWR,213,7307,IAD,0,4,29,ontime
900,US,857,LGA,214,2164,DCA,0,6,10,ontime
900,US,859,LGA,214,2164,DCA,0,5,16,delayed
1455,DL,1456,JFK,213,746,DCA,0,3,21,ontime
1530,MQ,1525,JFK,213,4752,DCA,0,4,1,ontime
1700,RU,1700,EWR,213,2497,IAD,0,4,8,ontime
1000,US,958,LGA,214,2166,DCA,0,1,5,ontime
1830,DL,1830,LGA,214,1764,DCA,0,1,12,ontime
700,RU,711,EWR,213,2855,IAD,1,2,27,delayed
1455,DH,1448,LGA,229,7211,IAD,0,3,21,ontime
